,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your gender?,What country do you live in?,What country do you work in?
262,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,1,"Yes, they all did",I was aware of some,Some did,I don't know,I don't know,I don't know,None did,Some of them,No,"Yes, I think it would",Maybe,Very open,"Yes, I observed",No,No,No,No,1,Sometimes,Not applicable to me,Male,Canada,Canada
263,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,I don't know,No,1,"Yes, they all did",I was aware of some,None did,I don't know,Some of them,Some of my previous employers,Some did,Some of them,No,Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Never,Often,Female,United States of America,United States of America
264,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,No,Some of them,Some of my previous employers,None did,None of them,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,Male,United States of America,United States of America
265,I don't know,No,No,Somewhat easy,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,Some of my previous employers,I don't know,Some of them,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,Male,United Kingdom,United Kingdom
266,Yes,I am not sure,I don't know,Somewhat difficult,Maybe,No,No,No,1,Some did,I was aware of some,None did,I don't know,Some of them,Some of my previous employers,None did,Some of them,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
267,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,Some did,"No, I only became aware later",None did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,1,Sometimes,Often,Female,United States of America,United States of America
268,No,No,No,Very difficult,Yes,Maybe,No,Yes,1,Some did,I was aware of some,None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,"Yes, all of them",No,"Yes, it has","No, I don't think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Often,Female,United Kingdom,United Kingdom
269,Yes,Yes,Yes,Somewhat easy,Maybe,No,I don't know,No,1,Some did,I was aware of some,None did,I don't know,Some of them,"No, at none of my previous employers",None did,Some of them,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",No,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
270,I don't know,Yes,No,Somewhat easy,No,No,Yes,Yes,1,Some did,"Yes, I was aware of all of them",None did,"Yes, always",Some of them,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think they would",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Never,Often,Male,Germany,Germany
271,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,Some did,I was aware of some,Some did,I don't know,Some of them,Some of my previous employers,Some did,None of them,Yes,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,No,No,1,Rarely,Often,Male,United States of America,United States of America
272,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,None did,Some of them,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
273,Yes,I am not sure,Yes,Very easy,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,Some of them,Some of my previous employers,I don't know,None of them,No,Maybe,"No, I don't think they would",Neutral,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
276,I don't know,I am not sure,Yes,Very difficult,Yes,Yes,No,Yes,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, always",I don't know,"Yes, at all of my previous employers",None did,None of them,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,I don't know,Maybe,Maybe,No,1,Not applicable to me,Sometimes,Male,United States of America,United States of America
277,Yes,I am not sure,I don't know,Neither easy nor difficult,No,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,I don't know,Some of them,Some of my previous employers,Some did,None of them,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,Yes,Yes,1,Never,Sometimes,Male,United States of America,United States of America
279,Yes,No,I don't know,Very difficult,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,Other,United States of America,United States of America
280,Yes,I am not sure,Yes,Somewhat easy,No,No,I don't know,No,1,Some did,I was aware of some,None did,No,Some of them,Some of my previous employers,Some did,None of them,No,"Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,Maybe,No,No,1,Not applicable to me,Sometimes,Other,United States of America,United States of America
281,Yes,Yes,No,I don't know,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,I don't know,"No, at none of my previous employers",I don't know,None of them,No,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
282,Yes,Yes,No,Very difficult,Yes,Maybe,No,No,1,"No, none did","Yes, I was aware of all of them",None did,I don't know,"Yes, all of them","No, at none of my previous employers",Some did,Some of them,No,"Yes, it has","Yes, I think they would",Somewhat open,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,Female,United States of America,United States of America
285,I don't know,No,I don't know,Somewhat difficult,Yes,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,I don't know,Some of them,"No, at none of my previous employers",Some did,Some of them,No,Maybe,"Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,No,0,Sometimes,Sometimes,Male,United States of America,United States of America
286,Yes,No,No,Very easy,Maybe,No,No,Yes,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
287,I don't know,I am not sure,Yes,Neither easy nor difficult,No,No,Yes,No,1,I don't know,N/A (not currently aware),I don't know,I don't know,None of them,"Yes, at all of my previous employers",I don't know,None of them,Yes,Maybe,Maybe,Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,Other,United States of America,United States of America
288,No,No,No,Somewhat difficult,Yes,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,No,Some of them,"No, at none of my previous employers",None did,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,Male,United States of America,United States of America
289,I don't know,No,No,Somewhat easy,No,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,I don't know,None of them,I don't know,I don't know,None of them,Maybe,Maybe,Maybe,Neutral,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,Male,Germany,Germany
290,No,No,No,I don't know,Maybe,Maybe,No,Yes,1,I don't know,N/A (not currently aware),"Yes, they all did",I don't know,None of them,"Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,Male,Netherlands,Netherlands
291,I don't know,I am not sure,I don't know,I don't know,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,Some of them,"No, at none of my previous employers",None did,None of them,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,Other,United Kingdom,United Kingdom
294,I don't know,No,No,I don't know,Yes,Yes,I don't know,No,1,Some did,I was aware of some,Some did,I don't know,"Yes, all of them","No, at none of my previous employers",I don't know,None of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Maybe,Yes,1,Never,Never,Female,United States of America,United States of America
295,No,No,No,Very easy,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,Some of them,Some of my previous employers,None did,None of them,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,Male,United Kingdom,United Kingdom
297,Yes,I am not sure,No,Very easy,No,No,Yes,No,1,Some did,I was aware of some,Some did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Sometimes,Female,Australia,Australia
298,Yes,I am not sure,Yes,Very easy,No,No,Yes,No,1,"No, none did",I was aware of some,None did,No,"Yes, all of them",Some of my previous employers,None did,"Yes, all of them",Yes,Maybe,"No, I don't think they would",Very open,"Yes, I experienced",Yes,Maybe,No,Yes,1,Not applicable to me,Not applicable to me,Female,Other,Other
301,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,I don't know,"Yes, all of them",I don't know,None did,Some of them,Maybe,"Yes, I think it would",Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,Male,United Kingdom,United Kingdom
305,I don't know,I am not sure,I don't know,I don't know,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,Other,United States of America
306,No,No,No,Somewhat difficult,Maybe,No,Yes,No,1,Some did,N/A (not currently aware),None did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,Yes,Yes,No,Yes,1,Sometimes,Often,Male,United Kingdom,United Kingdom
307,I don't know,No,I don't know,Very easy,No,No,Yes,No,1,"No, none did","No, I only became aware later",None did,I don't know,Some of them,Some of my previous employers,I don't know,None of them,No,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Female,Other,Other
310,I don't know,No,Yes,Neither easy nor difficult,Maybe,No,Yes,No,1,Some did,I was aware of some,Some did,Sometimes,I don't know,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,Female,United Kingdom,United Kingdom
312,Yes,I am not sure,No,Very easy,No,No,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Sometimes,"Yes, all of them","Yes, at all of my previous employers","Yes, they all did",None of them,No,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United Kingdom,United Kingdom
314,No,I am not sure,No,Very easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,"Yes, always",Some of them,Some of my previous employers,None did,Some of them,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,Other,Other
316,I don't know,No,No,Somewhat easy,No,No,Yes,No,1,I don't know,"No, I only became aware later",None did,I don't know,None of them,"Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,"No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
317,Yes,I am not sure,I don't know,Somewhat difficult,Maybe,No,Yes,No,1,Some did,I was aware of some,None did,I don't know,Some of them,"No, at none of my previous employers",Some did,None of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,No,Yes,1,Never,Sometimes,Male,United States of America,United States of America
319,Yes,Yes,No,I don't know,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,I don't know,I don't know,Some of my previous employers,Some did,None of them,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,No,Yes,1,Sometimes,Often,Male,United States of America,United States of America
320,I don't know,I am not sure,I don't know,Very difficult,Maybe,Maybe,I don't know,Yes,1,Some did,I was aware of some,Some did,"Yes, always","Yes, all of them","No, at none of my previous employers",I don't know,None of them,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,1,Not applicable to me,Not applicable to me,Female,Canada,Canada
321,Yes,Yes,No,Somewhat easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,I don't know,"Yes, all of them",I don't know,I don't know,None of them,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,1,Sometimes,Often,Female,Canada,Canada
322,Yes,I am not sure,I don't know,Somewhat difficult,Maybe,No,Yes,No,1,"Yes, they all did",I was aware of some,Some did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would",Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,Female,Canada,Canada
323,Yes,Yes,No,Neither easy nor difficult,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,I don't know,I don't know,"Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,"No, I don't think they would",Very open,"Yes, I observed",Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,Female,Canada,Canada
324,I don't know,I am not sure,I don't know,I don't know,No,No,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,I don't know,Some of them,"Yes, at all of my previous employers",I don't know,None of them,No,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,Female,Canada,Canada
325,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,Sometimes,Some of them,Some of my previous employers,Some did,Some of them,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,Female,Canada,Canada
326,Yes,No,No,Neither easy nor difficult,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,I don't know,None did,None of them,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Often,Often,Male,Canada,Canada
327,Not eligible for coverage / N/A,No,I don't know,Somewhat difficult,Maybe,No,I don't know,No,1,"No, none did","No, I only became aware later",None did,No,Some of them,"No, at none of my previous employers",None did,None of them,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,No,No,No,1,Not applicable to me,Not applicable to me,Male,Other,Other
329,I don't know,No,I don't know,Somewhat difficult,Yes,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,"No, at none of my previous employers",Some did,None of them,No,"Yes, I think it would",Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
331,Yes,I am not sure,Yes,Very easy,No,No,Yes,No,1,"Yes, they all did",I was aware of some,None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,Some of them,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Rarely,Often,Female,United States of America,United States of America
332,Yes,No,No,Very difficult,Yes,Maybe,I don't know,No,1,"Yes, they all did","No, I only became aware later",Some did,I don't know,Some of them,"No, at none of my previous employers",None did,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,Male,Canada,Canada
335,Yes,I am not sure,No,Somewhat easy,No,No,No,No,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,None did,None of them,Yes,"No, I don't think it would",Maybe,Somewhat not open,"Yes, I observed",Yes,Maybe,Maybe,No,0,Rarely,Often,Male,United States of America,United States of America
338,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,1,Some did,N/A (not currently aware),I don't know,I don't know,Some of them,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,"No, they do not",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,0,Rarely,Often,Female,United States of America,United States of America
339,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,Some of them,Some of my previous employers,Some did,None of them,Maybe,"No, it has not","No, I don't think they would",Very open,No,No,Yes,Yes,Yes,1,Rarely,Sometimes,Male,Netherlands,Netherlands
341,No,Yes,No,Somewhat difficult,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,I don't know,"No, at none of my previous employers",I don't know,None of them,Yes,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
343,I don't know,No,No,Very easy,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,I don't know,Some of them,"No, at none of my previous employers",Some did,None of them,No,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,1,Not applicable to me,Sometimes,Male,Germany,Germany
344,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,Some did,"Yes, I was aware of all of them",None did,I don't know,"Yes, all of them","No, at none of my previous employers",None did,Some of them,Yes,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,Female,United States of America,United States of America
345,I don't know,No,No,Somewhat difficult,Maybe,No,No,No,1,"No, none did","No, I only became aware later",None did,I don't know,Some of them,I don't know,None did,None of them,No,"Yes, it has",Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Never,Sometimes,Female,United States of America,United States of America
347,I don't know,No,I don't know,Neither easy nor difficult,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),Some did,Sometimes,None of them,Some of my previous employers,"Yes, they all did",None of them,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
348,Yes,I am not sure,No,Somewhat easy,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,I don't know,I don't know,"No, at none of my previous employers",None did,None of them,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,Female,United States of America,United States of America
349,Yes,I am not sure,No,Very easy,Maybe,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,I don't know,I don't know,Some of my previous employers,I don't know,None of them,No,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,Male,United States of America,United States of America
350,I don't know,No,I don't know,I don't know,Maybe,No,No,No,1,I don't know,N/A (not currently aware),None did,No,Some of them,"No, at none of my previous employers",Some did,Some of them,No,Maybe,"Yes, I think they would",Neutral,No,No,No,Maybe,No,0,Not applicable to me,Often,Male,United States of America,United States of America
352,Yes,I am not sure,I don't know,Neither easy nor difficult,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",I don't know,Maybe,No,No,1,Sometimes,Sometimes,Male,United States of America,United States of America
355,Not eligible for coverage / N/A,I am not sure,No,Somewhat difficult,No,No,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,I don't know,None of them,Some of my previous employers,Some did,None of them,No,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,Male,United States of America,United States of America
356,I don't know,No,Yes,I don't know,Yes,Maybe,I don't know,No,1,"Yes, they all did","No, I only became aware later",None did,I don't know,I don't know,Some of my previous employers,I don't know,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
357,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,"Yes, they all did",I was aware of some,None did,I don't know,I don't know,"No, at none of my previous employers",Some did,None of them,No,Maybe,Maybe,Very open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
358,Yes,Yes,No,Somewhat difficult,Yes,No,No,No,1,I don't know,N/A (not currently aware),Some did,I don't know,"Yes, all of them",Some of my previous employers,None did,None of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,Male,United States of America,United States of America
359,Yes,I am not sure,No,I don't know,Yes,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,I don't know,Some of them,Some of my previous employers,Some did,"Yes, all of them",No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,1,Sometimes,Often,Male,United States of America,United States of America
361,Yes,No,I don't know,Somewhat easy,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,I don't know,Some of them,Some of my previous employers,Some did,None of them,No,"Yes, I think it would",Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,Male,United States of America,United States of America
362,No,No,No,Somewhat difficult,Yes,No,No,No,1,Some did,"Yes, I was aware of all of them",Some did,Sometimes,I don't know,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
363,I don't know,I am not sure,I don't know,Somewhat easy,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,I don't know,Some of them,"No, at none of my previous employers",None did,None of them,No,"No, it has not","No, they do not",Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,Male,United States of America,United States of America
364,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, always",I don't know,"Yes, at all of my previous employers",Some did,None of them,Yes,Maybe,"No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
365,Yes,I am not sure,Yes,Somewhat easy,No,No,Yes,No,1,Some did,"No, I only became aware later",None did,I don't know,"Yes, all of them",Some of my previous employers,None did,Some of them,No,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,No,No,0,Not applicable to me,Not applicable to me,Male,United States of America,United States of America
367,Yes,No,Yes,I don't know,Maybe,Yes,Yes,No,1,"Yes, they all did",I was aware of some,None did,Sometimes,"Yes, all of them","No, at none of my previous employers",Some did,Some of them,Yes,Maybe,Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
368,Yes,I am not sure,No,Somewhat easy,Maybe,Maybe,Yes,No,1,Some did,I was aware of some,None did,I don't know,Some of them,Some of my previous employers,Some did,None of them,No,"No, it has not",Maybe,Very open,No,No,Yes,No,Yes,1,Rarely,Rarely,Other,United States of America,United States of America
369,I don't know,No,Yes,Somewhat easy,No,No,Yes,No,1,Some did,I was aware of some,None did,I don't know,"Yes, all of them",Some of my previous employers,None did,Some of them,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,Female,United States of America,United States of America
370,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,"Yes, always",Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,Maybe,No,No,0,Not applicable to me,Not applicable to me,Female,United States of America,United States of America
371,I don't know,I am not sure,No,Neither easy nor difficult,No,No,Yes,No,1,I don't know,N/A (not currently aware),I don't know,I don't know,I don't know,Some of my previous employers,Some did,None of them,Yes,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Male,Canada,Canada
372,Yes,No,I don't know,Somewhat easy,No,No,Yes,No,1,Some did,N/A (not currently aware),None did,No,"Yes, all of them",Some of my previous employers,Some did,"Yes, all of them",Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,Other,United States of America,United States of America
375,Yes,I am not sure,I don't know,I don't know,Maybe,No,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,I don't know,Some of them,"No, at none of my previous employers",None did,None of them,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,Male,Canada,Canada
377,Yes,Yes,Yes,Neither easy nor difficult,Yes,Maybe,No,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, always","Yes, all of them",Some of my previous employers,Some did,Some of them,No,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,Female,United States of America,United States of America
379,Yes,I am not sure,Yes,I don't know,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),Some did,I don't know,Some of them,Some of my previous employers,Some did,Some of them,No,"No, I don't think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,Other,Australia,Australia
380,No,No,No,Somewhat easy,Yes,Maybe,No,Yes,1,Some did,I was aware of some,Some did,Sometimes,Some of them,Some of my previous employers,Some did,Some of them,Yes,"Yes, it has",Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,Male,Netherlands,Netherlands
381,Yes,Yes,Yes,Somewhat easy,No,No,Yes,No,1,Some did,I was aware of some,None did,I don't know,Some of them,"No, at none of my previous employers",None did,Some of them,No,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
382,Yes,I am not sure,Yes,Very easy,No,No,I don't know,No,1,Some did,"No, I only became aware later",Some did,I don't know,Some of them,Some of my previous employers,Some did,Some of them,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,No,1,Rarely,Sometimes,Female,United States of America,United States of America
383,Yes,Yes,Yes,Very easy,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,No,"Yes, all of them",Some of my previous employers,None did,Some of them,No,Maybe,Maybe,Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Sometimes,Often,Male,United States of America,United States of America
